decision_tree,naive_bayes,KNN,logistic_regression,voting_ensamble,Var1,adaboost_1
0.32831325,0.34789157,0.36295181,0.31325301,0.37198795,0.33283133,0.31804511
0.32831325,0.34789157,0.36295181,0.31325301,0.36746988,0.27409639,0.31804511
0.32831325,0.34789157,0.36445783,0.31325301,0.37048193,0.30873494,0.31804511
0.33283133,0.35090361,0.36144578,0.31325301,0.36746988,0.30271084,0.31804511
0.33433735,0.35240964,0.36746988,0.31325301,0.3689759,0.30271084,0.31804511
0.33433735,0.34939759,0.36295181,0.31325301,0.3689759,0.30271084,0.31804511
0.33283133,0.34487952,0.36445783,0.31325301,0.3689759,0.32680723,0.31804511
0.33283133,0.35240964,0.3689759,0.31325301,0.37349398,0.30421687,0.31804511
0.31475904,0.35090361,0.32228916,0.31927711,0.35391566,0.27861446,0.31804511
0.31475904,0.34487952,0.32680723,0.31927711,0.35843373,0.26506024,0.31804511
0.31777108,0.34638554,0.32831325,0.31927711,0.35843373,0.29819277,0.31804511
0.31927711,0.34638554,0.33283133,0.31927711,0.35993976,0.27560241,0.31804511
0.32078313,0.34789157,0.33283133,0.17771084,0.29819277,0.27409639,0.31804511
